ds,Forecated,Actual Sales,type,level
2014-01-31,315.0982982430776,1342.0900000000001,Actual,Category - South
2014-02-28,-212.47697332008727,0.0,Actual,Category - South
2014-03-31,2860.2482872900996,390.238,Actual,Category - South
2014-04-30,512.526175418875,39.072,Actual,Category - South
2014-05-31,1173.4271426866308,3644.7799999999997,Actual,Category - South
2014-06-30,217.891568504691,425.66999999999996,Actual,Category - South
2014-07-31,115.3561870256309,514.03,Actual,Category - South
2014-08-31,122.71115443406143,193.93599999999998,Actual,Category - South
2014-09-30,171.8072343094126,241.808,Actual,Category - South
2014-10-31,845.1240026250542,0.0,Actual,Category - South
2014-11-30,2126.3063282304774,682.91,Actual,Category - South
2014-12-31,483.3640174091061,286.74,Actual,Category - South
2015-01-31,167.63853224369018,0.0,Actual,Category - South
2015-02-28,-230.758837334119,551.264,Actual,Category - South
2015-03-31,4774.839263356418,7579.69,Actual,Category - South
2015-04-30,149.44266152405623,1159.554,Actual,Category - South
2015-05-31,475.74259006894556,186.69,Actual,Category - South
2015-06-30,289.61379136028745,535.36,Actual,Category - South
2015-07-31,373.20031494666625,365.91,Actual,Category - South
2015-08-31,386.60566142844493,0.0,Actual,Category - South
2015-09-30,537.350525669653,200.984,Actual,Category - South
2015-10-31,1788.5797446182364,1954.9355,Actual,Category - South
2015-11-30,1557.8135185755555,580.9694999999999,Actual,Category - South
2015-12-31,322.2496755405514,542.28,Actual,Category - South
2016-01-31,29.37631749386958,255.904,Actual,Category - South
2016-02-29,535.1289783949408,0.0,Actual,Category - South
2016-03-31,-358.9466437146906,202.842,Actual,Category - South
2016-04-30,1755.1787390376703,931.3,Actual,Category - South
2016-05-31,3183.612535532252,3197.782,Actual,Category - South
2016-06-30,747.5527886934535,300.78,Actual,Category - South
2016-07-31,259.2871830553885,369.971,Actual,Category - South
2016-08-31,244.6702184980536,0.0,Actual,Category - South
2016-09-30,84.94679338719402,383.438,Actual,Category - South
2016-10-31,-461.5350958866843,0.0,Actual,Category - South
2016-11-30,3832.1843273493632,1004.6400000000001,Actual,Category - South
2016-12-31,1440.2285348813243,1410.066,Actual,Category - South
2017-01-31,1098.40577491862,0.0,Actual,Category - South
2017-02-28,460.8966380850037,0.0,Actual,Category - South
2017-03-31,1566.5061546429313,668.5400000000001,Actual,Category - South
2017-04-30,1466.0625059428362,1756.2925,Actual,Category - South
2017-05-31,2494.617127659854,301.96,Actual,Category - South
2017-06-30,788.8425510023314,789.7739999999999,Actual,Category - South
2017-07-31,495.5366325262071,0.0,Actual,Category - South
2017-08-31,493.497845690251,1058.56,Actual,Category - South
2017-09-30,439.00337319490234,408.392,Actual,Category - South
2017-10-31,512.9765340410988,729.648,Actual,Category - South
2017-11-30,3302.863199479172,8543.15,Actual,Category - South
2017-12-31,1274.4481131616271,,Forecast,Category - South
2018-01-31,942.3627977962301,,Forecast,Category - South
2018-02-28,414.78912356266596,,Forecast,Category - South
2018-03-31,3487.5161536461187,,Forecast,Category - South
2018-04-30,1139.7957542013237,,Forecast,Category - South
2018-05-31,1800.698488581005,,Forecast,Category - South
2018-06-30,845.1646261709805,,Forecast,Category - South
2018-07-31,742.6310135072449,,Forecast,Category - South
2018-08-31,749.9877485557728,,Forecast,Category - South
2018-09-30,799.085537883098,,Forecast,Category - South
2018-10-31,1472.4040726418855,,Forecast,Category - South
2018-11-30,2753.5881064576633,,Forecast,Category - South
2014-02-28,549.7507001468402,129.568,Actual,Category - West
2014-03-31,1036.98388932164,457.568,Actual,Category - West
2014-04-30,1040.4592859756517,0.0,Actual,Category - West
2014-05-31,1589.8970498163085,1217.71,Actual,Category - West
2014-06-30,2096.4185699211403,4074.6440000000002,Actual,Category - West
2014-07-31,1186.8959802839004,2246.36,Actual,Category - West
2014-08-31,1446.5922325428132,3164.7700000000004,Actual,Category - West
2014-09-30,2565.0730765142553,2347.134,Actual,Category - West
